action,owner,repo,sub_path,github_url,marketplace_url,usage_count,workflow_count,tag_versions,sha_pinned_versions,is_sha_pinned,is_mixed_pinning,example_workflows
oracle-devrel/action-git-files-changed,oracle-devrel,action-git-files-changed,,https://github.com/oracle-devrel/action-git-files-changed,https://github.com/marketplace/actions/action-git-files-changed,8,8,v0.1-alpha2,0,False,False,oracle-devrel/tech-content-heatwave; oracle-devrel/oci-arch-virtual-disk-import; oracle-devrel/helm-oci-mysql
pozil/auto-assign-issue,pozil,auto-assign-issue,,https://github.com/pozil/auto-assign-issue,https://github.com/marketplace/actions/auto-assign-issue,8,8,v1.3.0,0,False,False,AdobeDocs/experience-manager-guides-learn.ko-KR; AdobeDocs/audience-manager.ja-JP; AdobeDocs/journeys.nl-NL
oracle-devrel/action-git-num-commits,oracle-devrel,action-git-num-commits,,https://github.com/oracle-devrel/action-git-num-commits,https://github.com/marketplace/actions/action-git-num-commits,8,8,v0.1-alpha6,0,False,False,oracle-devrel/tech-content-heatwave; oracle-devrel/oci-arch-virtual-disk-import; oracle-devrel/helm-oci-mysql
atlassian/gajira-login,atlassian,gajira-login,,https://github.com/atlassian/gajira-login,https://github.com/marketplace/actions/gajira-login,8,8,master,0,False,False,udacity/ios-nd-persistence; udacity/cd1898-Observing-Cloud-Resources; udacity/DroidTermsExample-APK
ministryofjustice/hmpps-github-actions/.github/workflows/docker_build.yml,ministryofjustice,hmpps-github-actions,.github/workflows/docker_build.yml,https://github.com/ministryofjustice/hmpps-github-actions,,7,7,v2,0,False,False,ministryofjustice/hmpps-electronic-monitoring-data-insights-api; ministryofjustice/hmpps-external-movements-api; ministryofjustice/hmpps-person-on-probation-user-api
pre-commit/action,pre-commit,action,,https://github.com/pre-commit/action,https://github.com/marketplace/actions/action,7,7,v3.0.1,1,True,True,aio-libs/aiohttp-debugtoolbar; zopefoundation/zope.app.http; zopefoundation/zope.vocabularyregistry
docker/build-push-action,docker,build-push-action,,https://github.com/docker/build-push-action,https://github.com/marketplace/actions/build-push-action,7,7,,1,True,False,minder-load-tests/demo-go-863; minder-load-tests/demo-go-807; minder-load-tests/demo-go-562
pre-commit-ci/lite-action,pre-commit-ci,lite-action,,https://github.com/pre-commit-ci/lite-action,https://github.com/marketplace/actions/lite-action,7,7,,1,True,False,pallets/itsdangerous; zopefoundation/zope.app.http; zopefoundation/zope.vocabularyregistry
notofonts/notobuilder/.github/workflows/build.yaml,notofonts,notobuilder,.github/workflows/build.yaml,https://github.com/notofonts/notobuilder,,6,6,main,0,False,False,notofonts/linear-a; notofonts/linear-a; notofonts/thaana
puppetlabs/phoenix-github-actions/.github/workflows/unit_tests_with_nightly_puppet_gem.yaml,puppetlabs,phoenix-github-actions,.github/workflows/unit_tests_with_nightly_puppet_gem.yaml,https://github.com/puppetlabs/phoenix-github-actions,,6,6,main,0,False,False,puppetlabs/puppetlabs-yumrepo_core; puppetlabs/puppetlabs-mount_core; puppetlabs/puppetlabs-selinux_core
azure/login,azure,login,,https://github.com/azure/login,https://github.com/marketplace/actions/login,6,6,v1,0,False,False,Azure/azureml-oss-models; Azure/azureml-oss-models; Azure/azureml-oss-models
turbot/steampipe-workflows/.github/workflows/stale.yml,turbot,steampipe-workflows,.github/workflows/stale.yml,https://github.com/turbot/steampipe-workflows,,6,6,main,0,False,False,turbot/flowpipe-mod-teams; turbot/steampipe-mod-zoom-compliance; turbot/steampipe-mod-zoom-compliance
puppetlabs/phoenix-github-actions/.github/workflows/unit_tests_with_released_puppet_gem.yaml,puppetlabs,phoenix-github-actions,.github/workflows/unit_tests_with_released_puppet_gem.yaml,https://github.com/puppetlabs/phoenix-github-actions,,5,5,main,0,False,False,puppetlabs/puppetlabs-mount_core; puppetlabs/puppetlabs-selinux_core; puppetlabs/puppetlabs-selinux_core
