gha_fingerprint,workflow_blob_url,source_git_repo,package_namespace,package_name,workflow_path,workflow_name,primary_language,stars_count,popularity_bucket,license,is_fork,num_jobs,total_steps,has_matrix_strategy,has_job_dependencies,uses_reusable_workflows,trigger_diversity_count,trigger_risk_level,has_workflow_dispatch_inputs,num_third_party_action_refs,num_uses_steps,num_run_steps,has_permissions_block,permission_scope,secrets_usage_count,has_conditional_expressions,workflow_purpose,has_self_hosted_runner,uses_container,structural_complexity_bucket,sha_pinning_ratio,uses_unverified_actions,expressions_in_run_blocks,taint_source_count,env_vars_with_expressions,security_surface_bucket,action_dependency_bucket
1e48450c5f304c1e4f040d6e4d1274d5ae76abaf2121814e33605df976522a59,https://github.com/AdobeDocs/workfront.zh-Hans/blob/97496c4c108341100f2a32feb06acac85cb7b563/.github/workflows/assign-pr.yml,AdobeDocs/workfront.zh-Hans,adobedocs,workfront.zh-hans,.github/workflows/assign-pr.yml,PR assignment,,0,q1_low,Other,False,1,1,False,False,False,1,medium,False,1,1,0,False,not_set,1,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
128a0400bd710e8b9767b4782e06672897798ed60260a20ff7c35e1304754ee6,https://github.com/es-shims/all/blob/84ccfd69b5ab9df4f0dfa3c1da04f63c5b7d4f17/.github/workflows/node-tens.yml,es-shims/all,es-shims,all,.github/workflows/node-tens.yml,Tests: node.js >= 10,JavaScript,2,q1_low,MIT License,False,2,1,False,True,True,2,medium,False,0,0,1,False,not_set,0,False,ci_test,False,True,medium,,False,False,0,False,no_expressions,no_third_party
4743241c3fda880544c76de77fe1d04d9cbf47e1b3fe3bce7361319dfb2c3fae,https://github.com/zopencommunity/sudoport/blob/eedf1c37e91b70103a4367c071b2cdee7e6d5cf8/.github/workflows/build_and_test.yml,zopencommunity/sudoport,zopencommunity,sudoport,.github/workflows/build_and_test.yml,Build and Test,Groovy,0,q1_low,Apache License 2.0,False,1,0,False,False,True,3,high,False,0,0,0,True,write_all,0,True,build,False,True,simple,,False,False,0,False,no_expressions,no_third_party
f2689e7f0701f338be0f0be0002c4c3330692320c3015e2905c504f2bdddc249,https://github.com/getsentry/sentry-capacitor/blob/397b5ff9e56fbbee3ab24806a736f2666c0156e9/.github/workflows/update-deps.yml,getsentry/sentry-capacitor,getsentry,sentry-capacitor,.github/workflows/update-deps.yml,Update Dependencies,TypeScript,133,q3_high,MIT License,False,5,0,False,False,True,2,low,False,0,0,0,False,not_set,5,False,dependency_management,False,True,complex,,False,False,0,False,no_expressions,no_third_party
f20a565a1004c0322c03da4bb5421ae8cbdb92596258d5bc797c5b1e8e6d5862,https://github.com/ipfs/go-ipfs-pq/blob/a4cd1e3f4004e626e039610d42dc736577d17b4e/.github/workflows/go-test.yml,ipfs/go-ipfs-pq,ipfs,go-ipfs-pq,.github/workflows/go-test.yml,Go Test,Go,7,q1_low,MIT License,False,1,0,False,False,True,3,medium,False,0,0,0,True,granular,1,False,ci_test,False,True,simple,,False,False,0,False,no_expressions,no_third_party
d5af8fc9f4d662ec1384b1890f21b5c4cf866c031f431a5d72f0ba4d1cea1512,https://github.com/AdobeDocs/ffs-audio-video-API/blob/ced95adadbef59b519b2423cfa3f2ec8e02fd101/.github/workflows/lint.yml,AdobeDocs/ffs-audio-video-API,adobedocs,ffs-audio-video-api,.github/workflows/lint.yml,Lint,JavaScript,0,q1_low,Apache License 2.0,False,1,2,False,False,False,1,medium,False,1,1,1,False,not_set,0,False,code_quality,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
d2645ec1a6dfc6a2e27362f6a9b0320b2d2ff414e0cdb260659e554a3a4771a4,https://github.com/microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure/blob/2361f423782e246f1dcde439cfcf13ec3acc3cb8/.github/workflows/add-to-project.yml,microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure,microsoft,ignite25-lab506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure,.github/workflows/add-to-project.yml,Add new issues to Ignite GH Project,,0,q1_low,MIT License,False,2,2,False,True,False,1,high,False,1,1,1,True,empty_locked_down,4,False,other,False,True,medium,,False,False,0,False,no_expressions,unpinned_third_party
2ecffd2402bf3d848aed2785607d6b16e8f25dd6c4191b1478889bdecf42b799,https://github.com/docker/build-push-action/blob/14487ce63c7a62a4a324b0bfb37086795e31c6c1/.github/workflows/.e2e-run.yml,docker/build-push-action,docker,build-push-action,.github/workflows/.e2e-run.yml,.e2e-run,TypeScript,4748,q4_top,Apache License 2.0,False,1,12,True,False,False,1,low,False,5,6,6,False,not_set,0,True,other,False,True,complex,,False,False,0,False,no_expressions,unpinned_third_party
501a8a81c07b0de1a6e84585e022b242f2b93fd1e37c8eabf5aa78d5f0c0cdcd,https://github.com/fabric8io/kubernetes-client/blob/2cf3c3d5eb0c231ef9aa00fc20fed26eeb7f8cc9/.github/workflows/build.yml,fabric8io/kubernetes-client,fabric8io,kubernetes-client,.github/workflows/build.yml,Build,Java,3535,q4_top,Apache License 2.0,False,1,5,True,False,False,3,medium,False,2,2,3,True,granular,0,False,build,False,True,medium,,False,False,0,False,no_expressions,unpinned_third_party
abdaa74289a33759874809a3c30ae9a1fd948d6821845fdb38a4a74b86913d2c,https://github.com/adafruit/Adafruit_CircuitPython_BMP5xx/blob/cb7a8861a5cea4191160b67db38d3437be0e94a6/.github/workflows/build.yml,adafruit/Adafruit_CircuitPython_BMP5xx,adafruit,adafruit_circuitpython_bmp5xx,.github/workflows/build.yml,Build CI,Python,1,q1_low,MIT License,False,1,1,False,False,False,2,medium,False,1,1,0,False,not_set,0,False,build,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
